Date,Name,Account,Amount,Currency,Catergory
18-02-2026,MobilePay Andy Gregers Nissen,Lønkonto,20,DKK,Div
18-02-2026,MobilePay: MobilePay Madeline Jessen Holm,Lønkonto,-2000,DKK,Udlån
18-02-2026,MobilePay: MobilePay Tanja Holm,Lønkonto,-200,DKK,Booster
18-02-2026,MobilePay: MobilePay Rasmus Knak Mortensen,Lønkonto,-100,DKK,Booster
18-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736049704859934192",Lønkonto,-38,DKK,Mad
18-02-2026,"GITHUB, INC., SAN FRANCISCO beløb omregnet fra -10,00 USD til kurs 631,615000",Lønkonto,"-63,16",DKK,Computer
17-02-2026,"Google Play Apps, London,",Lønkonto,-41,DKK,Computer
16-02-2026,ROXY BAGERIET\Agtrupvej 98\Kolding\ Notanr 25481046047097210108113,Lønkonto,-157,DKK,Mad
16-02-2026,ATM/Udbetaling 3733 Trans.nr. Z74,Lønkonto,-2000,DKK,Fy
16-02-2026,REMA 1000 KOLDI Notanr 05309416045800157542437,Lønkonto,"-495,65",DKK,Mad
16-02-2026,Restaurant Asian\Sydbanegade\Kolding\ Notanr 72716096045608610027616,Lønkonto,-1213,DKK,Div
16-02-2026,SUPERBRUGSEN ER Notanr 05309416044800124142718,Lønkonto,-28,DKK,Mad
16-02-2026,MobilePay køb MobilePay Flowers & Art. Blomster,Lønkonto,-365,DKK,Div
13-02-2026,REMA 1000 NR. B Notanr 05309416043800195542235,Lønkonto,"-187,1",DKK,Mad
13-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736044704360161553",Lønkonto,-73,DKK,Mad
12-02-2026,MobilePay: MobilePay Mikkel Beck Nannberg,Lønkonto,-50,DKK,Udlån
12-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736043704258763164",Lønkonto,-121,DKK,Mad
12-02-2026,Husleje,Lønkonto,-3350,DKK,Husleje
12-02-2026,Overførsel,Lønkonto,-1000,DKK,Til opssparing
12-02-2026,Lønoverførsel,Lønkonto,"14755,43",DKK,Løn
10-02-2026,F Notanr 05309416040800154694806,Lønkonto,-118,DKK,Computer
09-02-2026,REMA 1000 KOLDI Notanr 05309416039800026282098,Lønkonto,"-256,01",DKK,Mad
09-02-2026,F Notanr 05309416039800017759815,Lønkonto,-672,DKK,Computer
09-02-2026,"CLOUDFLARE, SAN FRANCISCO, beløb omregnet fra -10,46 USD til kurs 633,205000",Lønkonto,"-66,23",DKK,Computer
09-02-2026,"Google One, London,",Lønkonto,-17,DKK,Computer
06-02-2026,ROXY BAGERIET\Agtrupvej 98\Kolding\ Notanr 25481046037096883029012,Lønkonto,-112,DKK,Mad
06-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736037703659115063",Lønkonto,-118,DKK,Mad
06-02-2026,REMA 1000 KOLDI Notanr 05309416035800105231515,Lønkonto,-266,DKK,Mad
06-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736036703559379471",Lønkonto,-32,DKK,Mad
05-02-2026,"Lycamobile Europe Limi, London",Lønkonto,-59,DKK,Telefon
05-02-2026,"Wolt, Copenhagen",Lønkonto,"-259,62",DKK,Mad
04-02-2026,"Blizzard Entertainment, Cork beløb omregnet fra -12,99 EUR til kurs 746,870900",Lønkonto,"-97,02",DKK,Computer
04-02-2026,REMA 1000 NR. B Notanr 05309416033800162104037,Lønkonto,"-311,01",DKK,Mad
04-02-2026,"CIRCLE K BUEN, KOLDING\BUEN 13 Notanr 05438736034703350206776",Lønkonto,-71,DKK,Mad
